entry_time,exit_time,side,entry_price,exit_price,quantity,pnl,reason,capital_after
2026-08-18T18:40:00+00:00,2026-08-18T21:10:00+00:00,short,4359.37,4345.2,1.0176554885229,9.9911,signal_exit,897.2584
2026-08-18T22:10:00+00:00,2026-08-18T23:55:00+00:00,short,4345.6,4338.27,1.0323757512828131,3.0848,signal_exit,900.3432
2026-08-19T01:00:00+00:00,2026-08-19T01:15:00+00:00,short,4338.62,4343.88,1.0375916982867541,-9.9622,signal_exit,890.381
2026-08-19T01:25:00+00:00,2026-08-19T02:55:00+00:00,long,4347.91,4360.76,1.0239184361118323,8.6989,signal_exit,899.0799
2026-08-19T03:00:00+00:00,2026-08-19T03:05:00+00:00,long,4361.49,4359.57,1.0307027065653365,-6.4734,signal_exit,892.6066
2026-08-19T03:25:00+00:00,2026-08-19T03:55:00+00:00,long,4363.21,4360.8,1.0228782825739136,-6.9269,signal_exit,885.6796
2026-08-19T09:40:00+00:00,2026-08-19T11:35:00+00:00,long,4364.92,4373.13,1.0145427790404902,3.8968,signal_exit,889.5764
2026-08-19T12:15:00+00:00,2026-08-19T16:55:00+00:00,long,4373.61,4496.23,1.0169819061011478,120.1921,signal_exit,1009.7685
2026-08-19T17:00:00+00:00,2026-08-19T17:05:00+00:00,long,4499.13,4495.69,1.122181993851839,-8.9072,signal_exit,1000.8613
2026-08-19T18:00:00+00:00,2026-08-19T18:05:00+00:00,long,4497.52,4490.83,1.1126813401829283,-12.4444,signal_exit,988.4169
2026-08-19T18:45:00+00:00,2026-08-19T22:00:00+00:00,long,4493.59,4524.52,1.0998076074943017,29.058,signal_exit,1017.4748
2026-08-19T23:05:00+00:00,2026-08-19T23:10:00+00:00,long,4524.76,4522.02,1.124341235447021,-8.1665,signal_exit,1009.3083
2026-08-20T00:15:00+00:00,2026-08-20T02:10:00+00:00,long,4520.89,4502.21,1.1162717084624036,-25.8881,signal_exit,983.4202
2026-08-20T02:15:00+00:00,2026-08-20T03:00:00+00:00,short,4495.89,4499.76,1.093688068072982,-9.1518,signal_exit,974.2685
2026-08-20T04:20:00+00:00,2026-08-20T06:05:00+00:00,short,4499.67,4494.71,1.0825999010099685,0.501,signal_exit,974.7695
2026-08-20T07:00:00+00:00,2026-08-20T07:40:00+00:00,short,4493.4,4495.5,1.084668065802835,-7.1528,signal_exit,967.6167
2026-08-20T09:10:00+00:00,2026-08-20T10:10:00+00:00,long,4497.26,4495.29,1.075784708966301,-6.9563,signal_exit,960.6604
2026-08-20T10:50:00+00:00,2026-08-20T12:45:00+00:00,short,4493.06,4476.61,1.069049142767052,12.7913,signal_exit,973.4517
2026-08-20T17:25:00+00:00,2026-08-20T18:10:00+00:00,long,4517.4,4514.93,1.077446913785035,-7.5272,signal_exit,965.9245
2026-08-20T18:25:00+00:00,2026-08-20T20:05:00+00:00,long,4523.0,4526.83,1.0677918591068551,-0.742,signal_exit,965.1825
2026-08-20T23:45:00+00:00,2026-08-21T00:00:00+00:00,long,4530.03,4525.75,1.0653157828626851,-9.3832,signal_exit,955.7993
2026-08-21T02:25:00+00:00,2026-08-21T03:25:00+00:00,long,4529.84,4533.44,1.0550033852603753,-0.9829,signal_exit,954.8164
2026-08-21T03:30:00+00:00,2026-08-21T03:35:00+00:00,long,4539.06,4533.16,1.0517777068200542,-10.9765,signal_exit,943.84
2026-08-21T03:55:00+00:00,2026-08-21T05:00:00+00:00,long,4538.7,4540.21,1.0397690481192907,-3.1499,signal_exit,940.69
2026-08-21T05:40:00+00:00,2026-08-21T08:00:00+00:00,long,4545.28,4564.33,1.0347987606903588,14.9996,signal_exit,955.6896
2026-08-21T08:10:00+00:00,2026-08-21T09:30:00+00:00,long,4569.03,4585.71,1.0458342711911501,12.6573,signal_exit,968.347
2026-08-21T10:25:00+00:00,2026-08-21T12:05:00+00:00,long,4591.4,4596.91,1.0545225609243878,0.9658,signal_exit,969.3128
2026-08-21T13:30:00+00:00,2026-08-21T13:35:00+00:00,short,4577.22,4590.97,1.058844403874466,-19.413,signal_exit,949.8998
2026-08-21T14:50:00+00:00,2026-08-21T17:30:00+00:00,long,4592.71,4623.98,1.0341386703815436,27.5718,signal_exit,977.4717
2026-08-21T18:00:00+00:00,2026-08-21T18:35:00+00:00,long,4629.39,4623.26,1.0557240273788497,-11.3557,signal_exit,966.1159
2026-08-21T18:50:00+00:00,2026-08-21T19:00:00+00:00,long,4627.87,4625.48,1.0438019437372688,-7.324,signal_exit,958.7919
2026-08-21T19:50:00+00:00,2026-08-21T19:55:00+00:00,long,4625.58,4620.47,1.0364018363849568,-10.0873,signal_exit,948.7046
2026-08-21T22:45:00+00:00,2026-08-21T22:50:00+00:00,short,4612.99,4614.01,1.0282968273132234,-5.7929,signal_exit,942.9117
2026-08-22T02:45:00+00:00,2026-08-22T03:10:00+00:00,short,4611.66,4614.5,1.0223126662729427,-7.6194,signal_exit,935.2923
2026-08-22T03:25:00+00:00,2026-08-22T03:55:00+00:00,short,4612.74,4614.04,1.0138142492554427,-5.9951,signal_exit,929.2972
2026-08-22T04:05:00+00:00,2026-08-22T04:50:00+00:00,short,4611.92,4612.48,1.007494957608442,-5.211,signal_exit,924.0863
2026-08-22T05:10:00+00:00,2026-08-22T05:50:00+00:00,short,4594.85,4608.57,1.0055673890975367,-18.4237,signal_exit,905.6625
2026-08-22T06:05:00+00:00,2026-08-22T06:35:00+00:00,short,4605.72,4607.37,0.9831932352275667,-6.1514,signal_exit,899.5112
2026-08-22T08:40:00+00:00,2026-08-22T10:10:00+00:00,long,4611.65,4610.57,0.975259567346357,-5.5503,signal_exit,893.9608
2026-08-22T12:55:00+00:00,2026-08-22T14:15:00+00:00,short,4609.94,4609.58,0.9696013909880009,-4.1206,signal_exit,889.8403
2026-08-22T15:15:00+00:00,2026-08-22T16:00:00+00:00,short,4608.4,4609.8,0.9654546849957462,-5.8015,signal_exit,884.0388
2026-08-22T18:10:00+00:00,2026-08-22T18:25:00+00:00,long,4611.69,4610.46,0.9584759169840893,-5.5985,signal_exit,878.4402
2026-08-22T20:30:00+00:00,2026-08-22T21:35:00+00:00,short,4609.18,4609.0,0.9529246314989579,-4.2206,signal_exit,874.2196
2026-08-22T21:50:00+00:00,2026-08-22T23:15:00+00:00,short,4607.65,4607.95,0.9486610763039165,-4.6558,signal_exit,869.5638
2026-08-22T23:25:00+00:00,2026-08-22T23:35:00+00:00,short,4607.5,4607.9,0.9436395038698464,-4.7255,signal_exit,864.8383
2026-08-23T03:15:00+00:00,2026-08-23T03:20:00+00:00,short,4608.06,4608.24,0.9383974376120695,-4.4932,signal_exit,860.3452
2026-08-23T08:55:00+00:00,2026-08-23T09:55:00+00:00,long,4610.48,4610.55,0.9330320829736092,-4.2364,signal_exit,856.1087
2026-08-23T10:20:00+00:00,2026-08-23T14:05:00+00:00,long,4610.88,4613.78,0.928357174133149,-1.5897,signal_exit,854.5191
2026-08-23T14:50:00+00:00,2026-08-23T15:00:00+00:00,long,4614.34,4613.78,0.9259385432948449,-4.7909,signal_exit,849.7282
2026-08-23T15:05:00+00:00,2026-08-23T16:20:00+00:00,long,4614.3,4615.51,0.9207552499773601,-3.1351,signal_exit,846.5931
2026-08-23T16:50:00+00:00,2026-08-23T18:40:00+00:00,long,4618.17,4617.71,0.916589369641744,-4.6544,signal_exit,841.9387
2026-08-23T18:55:00+00:00,2026-08-23T19:00:00+00:00,long,4618.36,4617.6,0.9115126581903576,-4.9021,signal_exit,837.0366
2026-08-23T19:05:00+00:00,2026-08-23T19:50:00+00:00,long,4618.19,4618.12,0.9062388329307696,-4.2486,signal_exit,832.788
2026-08-23T20:25:00+00:00,2026-08-23T20:30:00+00:00,long,4618.38,4618.0,0.9016018983439125,-4.5064,signal_exit,828.2817
2026-08-24T00:55:00+00:00,2026-08-24T01:25:00+00:00,long,4625.25,4617.94,0.8953912301631567,-10.6834,signal_exit,817.5982
2026-08-24T01:50:00+00:00,2026-08-24T02:45:00+00:00,long,4631.75,4633.01,0.8826018372511136,-2.9765,signal_exit,814.6217
2026-08-24T03:25:00+00:00,2026-08-24T03:55:00+00:00,long,4647.03,4644.28,0.8764971854643294,-6.4823,signal_exit,808.1395
2026-08-24T05:00:00+00:00,2026-08-24T05:25:00+00:00,long,4643.02,4639.41,0.8702735206411939,-7.1808,signal_exit,800.9587
2026-08-24T05:55:00+00:00,2026-08-24T07:15:00+00:00,long,4644.04,4649.41,0.8623511623864968,0.6237,signal_exit,801.5824
2026-08-24T09:15:00+00:00,2026-08-24T09:45:00+00:00,short,4640.49,4647.6,0.8636829036059256,-10.1518,signal_exit,791.4306
2026-08-24T11:00:00+00:00,2026-08-24T11:05:00+00:00,long,4649.27,4644.6,0.8511342724300126,-7.93,signal_exit,783.5006
2026-08-24T11:25:00+00:00,2026-08-24T13:40:00+00:00,long,4650.25,4663.01,0.8424285200404649,6.8265,signal_exit,790.3272
2026-08-24T13:45:00+00:00,2026-08-24T13:50:00+00:00,long,4677.43,4670.81,0.8448305533808894,-9.5416,signal_exit,780.7855
